"astro-ph/0511143","D. V. Ahluwalia-Khalilova","C. G. Boehmer","A general relativistic argument for dark matter existence without
  invoking non-Keplerian rotation curves and gravitational-lensing data","This paper has been withdrawn by the authors",,,,"astro-ph gr-qc hep-th",,"  This paper has been withdrawn by the authors because the ratio presented in
Eq. (13) does not remain frozen in time for all values of w = p/rho. As such a
separate more detailed analysis containing the generalized Buchdahl inequality
valid for all values of w is required. The new analysis will in addition attend
to the time evolution of the ratio (13). The essential results remain
unchanged, but result from the w=0 case.
","[{""version"":""v1"",""created"":""Sat, 5 Nov 2005 20:58:55 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 2005 22:13:15 GMT""},{""version"":""v3"",""created"":""Sat, 14 Jan 2006 00:42:57 GMT""},{""version"":""v4"",""created"":""Sat, 28 Jan 2006 01:28:01 GMT""}]","2007-05-23"
"astro-ph/0511146","Michael Salem","Michael P. Salem","On the generation of density perturbations at the end of inflation","7 pages, no figures. v2: significant revisions to section IV, other
  comments clarified, references added. v3: typo corrected, version that
  appears in PRD. v4: some misstatements in the background section corrected,
  no change in results. v5: erratum added to correct the predictions of section
  V.B, reference added","Phys.Rev.D72:123516,2005","10.1103/PhysRevD.72.123516","CALT 68-2582","astro-ph hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Recently a mechanism was proposed whereby the primordial density
perturbations are generated at the end of inflation. We continue the analysis
of the proposed model of this mechanism and calculate the maximum extent to
which the density perturbations produced via this model can dominate over those
of the standard inflationary paradigm. In addition, we provide a
straightforward variation of this model which allows for greater amplification
of the density perturbations. Finally, we show that a variation in the
implementation of the original model results in significant non-gaussianities
in the resulting spectrum of density perturbations. The level of
non-gaussianities can be made to saturate the current observational bound.
","[{""version"":""v1"",""created"":""Sat, 5 Nov 2005 20:15:50 GMT""},{""version"":""v2"",""created"":""Tue, 15 Nov 2005 04:06:40 GMT""},{""version"":""v3"",""created"":""Mon, 19 Dec 2005 20:42:32 GMT""},{""version"":""v4"",""created"":""Fri, 9 May 2008 14:25:24 GMT""},{""version"":""v5"",""created"":""Mon, 27 Jul 2009 13:57:12 GMT""}]","2009-11-13"
"astro-ph/0511155","Jerry A. Sellwood","J. A. Sellwood (Rutgers University) & Victor P. Debattista (University
  of Washington)","Bar-Halo Friction in Galaxies II: Metastability","13 pages, 11 figures, to appear in ApJ","Astrophys.J.639:868-878,2006","10.1086/499482","Rutgers Astrophysics Preprint #430","astro-ph",,"  It is well-established that strong bars rotating in dense halos generally
slow down as they lose angular momentum to the halo through dynamical friction.
Angular momentum exchanges between the bar and halo particles take place at
resonances. While some particles gain and others lose, friction arises when
there is an excess of gainers over losers. This imbalance results from the
generally decreasing numbers of particles with increasing angular momentum, and
friction can therefore be avoided if there is no gradient in the density of
particles across the major resonances. Here we show that anomalously weak
friction can occur for this reason if the pattern speed of the bar fluctuates
upwards. After such an event, the density of resonant halo particles has a
local inflexion created by the earlier exchanges, and bar slowdown can be
delayed for a long period; we describe this as a metastable state. We show that
this behavior in purely collisionless N-body simulations is far more likely to
occur in methods with adaptive resolution. We also show that the phenomenon
could arise in nature, since bar-driven gas inflow could easily raise the bar
pattern speed enough to reach the metastable state. Finally, we demonstrate
that mild external, or internal, perturbations quickly restore the usual
frictional drag, and it is unlikely therefore that a strong bar in a galaxy
having a dense halo could rotate for a long period without friction.
","[{""version"":""v1"",""created"":""Sat, 5 Nov 2005 17:35:59 GMT""}]","2009-11-13"
"astro-ph/0511156","T. N. Rengarajan","T. N. Rengarajan","Radio-far-infrared Correlation and Cosmic Ray Electrons in Starburst
  Galaxies and Ultra Luminous Infrared Galaxies","To appear in the Proceedings of the 29th International Cosmic Rays
  Conference, Pune, India (2005); 4 pages, no figure, pdf file",,,,"astro-ph",,"  The ubiquitous and tight correlation between the radio continuum emission and
the far-infrared emission is also found to hold true for starburst galaxies and
Ultra Luminous Infrared Galaxies wherein most of the emission is from compact
structures. The infrared photon density in the cores is high enough for the
inverse Compton scattering to dominate over the synchrotron emission thus
spoiling the correlation. The high magnetic field postulated to avoid this,
also encounters the problem of steep radio index that is not observed. Further,
at high densities the flux of secondary electrons can exceed that of the
primary. The problems posed by such effects are discussed and suggestion for
further work made.
","[{""version"":""v1"",""created"":""Sat, 5 Nov 2005 22:50:50 GMT""}]","2007-05-23"
"astro-ph/0511157","Luis Ho","Luis C. Ho (Carnegie Observatories)","AGNs and Starbursts: What Is the Real Connection?","Invited review, 9 pages. Proceedings of meeting Extreme Starburst:
  Near and Far, held in Lijiang, China",,,,"astro-ph",,"  It is now widely believed that the growth of massive black holes is closely
linked to the formation of galaxies, but there have been few concrete
constraints on the actual physical processes responsible for this coupling.
Investigating the connection between AGN and starburst activity may offer some
empirical guidance on this problem. I summarize previous observational searches
for young stars in active galaxies, concluding that there is now compelling
evidence for a significant post-starburst population in many luminous AGNs, and
that a direct, causal link may exist between star formation and black hole
accretion. Quantifying the ongoing star formation rate in AGNs, however, is
much more challenging because of the strong contamination by the active
nucleus. I discuss recent work attempting to measure the star formation rate in
luminous AGNs and quasars. The exceptionally low level of coeval star formation
found in these otherwise gas-rich systems suggests that the star formation
efficiency in the host galaxies is suppressed in the presence of strong AGN
feedback.
","[{""version"":""v1"",""created"":""Sun, 6 Nov 2005 05:22:35 GMT""}]","2007-05-23"
"astro-ph/0511158","Johan Holmberg","Johan Holmberg, Chris Flynn and Laura Portinari","The colours of the Sun","5 pages, 2 figures, accepted by MNRAS","Mon.Not.Roy.Astron.Soc.367:449-453,2006","10.1111/j.1365-2966.2005.09832.x",,"astro-ph",,"  We compile a sample of Sun-like stars with accurate effective temperatures,
metallicities and colours (from the UV to the near-IR). A crucial improvement
is that the effective temperature scale of the stars has recently been
established as both accurate and precise through direct measurement of angular
diameters obtained with stellar interferometers. We fit the colours as a
function of effective temperature and metallicity, and derive colour estimates
for the Sun in the Johnson/Cousins, Tycho, Stromgren, 2MASS and SDSS
photometric systems. For (B-V)_Sun, we favour the ``red'' colour 0.64 versus
the ``blue'' colour 0.62 of other recent papers, but both values are consistent
within the errors; we ascribe the difference to the selection of Sun-like stars
versus interpolation of wider colour-Teff-metallicity relations.
","[{""version"":""v1"",""created"":""Sun, 6 Nov 2005 13:34:19 GMT""}]","2009-11-13"
"astro-ph/0511159","Raanan Nordon","R. Nordon, E. Behar and M. Guedel","Emission Measure Distribution and Abundances Measurements During High-T
  Flares","To appear in the proceedings of ""The X-ray Universe"" 2005 Conference.
  6 Pages, 5 figures",,,,"astro-ph",,"  The RSCVn system Sigma Geminorum was observed by XMM-Newton on April 2001
during a large flare. We model the emission measure distribution (EMD) during
the flare and during a quiescence period. In the flare, a two phase behaviour
is found in which the cool plasma (kT < 2 keV) is not disturbed while a large
hot component, at temperatues of kT > 3 keV emerges. Fundamental limitations on
EMD modeling of high temperature plasmas are then discussed, in the context of
the Sigma Gem flare.
","[{""version"":""v1"",""created"":""Sun, 6 Nov 2005 14:42:16 GMT""}]","2007-05-23"
"astro-ph/0511160","David Seery","James E. Lidsey and David Seery","An Observational Test of Holographic Inflation","7 pages, 2 figures. Uses RevTeX4 LaTeX class","Phys.Rev. D73 (2006) 023516","10.1103/PhysRevD.73.023516",,"astro-ph gr-qc hep-th",,"  Observational consequences of inflationary cosmology in the holographic dual
of the Randall-Sundrum type II braneworld scenario, as motivated by the AdS/CFT
correspondence, are investigated. High energy corrections to the standard
four-dimensional Friedmann equation induce a corresponding modification to the
form of the single-field inflationary consistency equation based on Einstein
gravity. The degree of departure from the standard expression is determined by
the ratio, r, of the primordial tensor and scalar perturbation amplitudes and
the coefficient, c, of the conformal anomaly in the dual gauge theory. It is
found that a necessary condition for detecting such a correction with the next
generation of cosmic microwave background (CMB) polarization experiments is
that r >= 0.06. The bound is tightened to r > 0.3 for values of the central
charge that are compatible with known compactifications of type IIB string
theory as parametrized in terms of F-theory compactification on Calabi-Yau
four-folds. This is close to the present upper bounds inferred from combined
observations of the CMB anisotropy power spectrum and high redshift surveys. We
conclude that if such modifications to the inflationary consistency equation
are to be observable, the gravitational wave background should be detected in
the near future. A further consequence of the non-standard dynamics at high
energies is that the initial state of the universe is a quiescent singularity
with a finite density and pressure.
","[{""version"":""v1"",""created"":""Sun, 6 Nov 2005 15:14:34 GMT""}]","2008-04-22"
"cond-mat/0511141","Jan Kierfeld","P. Kraikivski, R. Lipowsky and J. Kierfeld","Barrier crossing of semiflexible polymers","7 pages, 3 figures","Europhys. Lett. 66, 763 (2004)","10.1209/epl/i2004-10027-7",,"cond-mat.stat-mech cond-mat.soft",,"  We consider the motion of semiflexible polymers in double-well potentials. We
calculate shape, energy, and effective diffusion constant of kink excitations,
and in particular their dependence on the bending rigidity of the semiflexible
polymer. For symmetric potentials, the kink motion is purely diffusive whereas
kink motion becomes directed in the presence of a driving force on the polymer.
We determine the average velocity of the semiflexible polymer based on the kink
dynamics. The Kramers escape over the potential barriers proceeds by nucleation
and diffusive motion of kink-antikink pairs, the relaxation to the straight
configuration by annihilation of kink-antikink pairs. Our results apply to the
activated motion of biopolymers such as DNA and actin filaments or synthetic
polyelectrolytes on structured substrates.
","[{""version"":""v1"",""created"":""Sat, 5 Nov 2005 18:14:29 GMT""}]","2009-11-11"
"cond-mat/0511142","Helene Bouchiat","M.Ferrier, F.Ladieu, M.Ocio, B.Sacepe, T.Vaugien, V.Pichot, P.Launois,
  H.Bouchiat","Superconducting diamagnetic fluctuations in ropes of carbon nanotubes","10 pages 3 figures",,"10.1103/PhysRevB.73.094520",,"cond-mat.supr-con cond-mat.mes-hall",,"  We report low-temperature magnetisation measurements on a large number of
purified ropes of single wall carbon nanotubes. In spite of a large
superparamagnetic contribution due to the small ferromagnetic catalytical
particles still present in the sample, at low temperature ($T < 0.5K$) and low
magnetic field ($H < 80 Oe$), a diamagnetic signal is detectable. This low
temperature diamagnetism can be interpreted as the Meissner effect in ropes of
carbon nanotubes which have previously been shown to exhibit superconductivity
from transport measurements.
","[{""version"":""v1"",""created"":""Sat, 5 Nov 2005 22:29:42 GMT""}]","2009-11-11"
